Total scored: 199 | Eligible: 139

TICKER     COMPANY                          STRATEGY  SCORE STARS
LGND       Ligand Pharmaceuticals Inc       JOKER      54.5 ★★☆☆☆
KO         Coca-Cola Co                     QUEEN      54.1 ★★☆☆☆
BBD        Bombardier Inc                   JOKER      54.0 ★★☆☆☆
KRP        Kimbell Royalty Partners LP      KING       53.9 ★★☆☆☆
SUBC       Subsea7                          JOKER      53.7 ★★☆☆☆
UNC        UCB SA                           QUEEN      53.7 ★★☆☆☆
CNR        Canadian National Railway Co     QUEEN      53.2 ★★☆☆☆
BBD.B      Bombardier Inc                   JOKER      52.4 ★★☆☆☆
MRVL       Marvell Technology Inc           JOKER      52.4 ★★☆☆☆
ORNBV      Orion B                          KING       52.2 ★★☆☆☆ VETO:extreme_overvaluation
CRUS       Cirrus Logic Inc                 ACE        52.2 ★★☆☆☆ VETO:extreme_overvaluation
RVRC       Revolutionrace                   ACE        52.2 ★★☆☆☆ VETO:extreme_overvaluation
SPA        Spadel SA                        ACE        52.2 ★★☆☆☆ VETO:extreme_overvaluation
YX5        Spadel SA                        ACE        52.2 ★★☆☆☆ VETO:extreme_overvaluation
TREL B     Trelleborg                       KING       51.9 ★★☆☆☆ VETO:extreme_overvaluation
AMGN       Amgen Inc                        QUEEN      51.9 ★★☆☆☆
WWD        Woodward Inc                     JOKER      51.9 ★★☆☆☆
DOCN       DigitalOcean Holdings Inc        JOKER      51.8 ★★☆☆☆
NHC        National Healthcare Corp         ACE        51.7 ★★☆☆☆ VETO:extreme_overvaluation
BITTI      Bittium                          JOKER      51.5 ★★☆☆☆
CLA B      Cloetta                          JOKER      51.5 ★★☆☆☆
TASK       TaskUs Inc                       QUEEN      51.5 ★★☆☆☆
PEN        Penumbra Inc                     JOKER      51.4 ★★☆☆☆
XOM        Exxon Mobil Corp                 KING       51.3 ★★☆☆☆
RL         Ralph Lauren Corp                QUEEN      51.3 ★★☆☆☆
NDSN       Nordson Corp                     QUEEN      50.9 ★★☆☆☆
PSON       Pearson PLC                      KING       50.7 ★★☆☆☆
HTG        Hunting PLC                      JOKER      50.7 ★★☆☆☆
ALFA       Alfa Laval                       QUEEN      49.5 ★★☆☆☆ VETO:extreme_overvaluation
CSCO       Cisco Systems Inc                QUEEN      49.5 ★★☆☆☆ VETO:extreme_overvaluation
HUBB       Hubbell Inc                      QUEEN      49.5 ★★☆☆☆ VETO:extreme_overvaluation
4RW        Rai Way SpA                      QUEEN      49.5 ★★☆☆☆ VETO:extreme_overvaluation
ELMD       Electromed Inc                   JOKER      49.5 ★★☆☆☆
ISSC       Innovative Solutions & Support   ACE        49.4 ★★☆☆☆ VETO:extreme_overvaluation
WLDN       Willdan Group Inc                JOKER      49.3 ★★☆☆☆
CCL.B      CCL Industries Inc               QUEEN      49.0 ★★☆☆☆
DCI        Donaldson Co Inc                 QUEEN      48.9 ★★☆☆☆
BIRK       Birkenstock Holding PLC          QUEEN      48.7 ★★☆☆☆
GIL        Gildan Activewear Inc            QUEEN      48.3 ★★☆☆☆
MBB        MBB SE                           JOKER      48.3 ★★☆☆☆
KEX        Kirby Corp                       JOKER      48.1 ★★☆☆☆
FMM B      FM Mattsson                      ACE        48.0 ★★☆☆☆ VETO:extreme_overvaluation
STRT       Strattec Security Corp           JOKER      47.0 ★★☆☆☆
DAKT       Daktronics Inc                   JOKER      46.7 ★★☆☆☆
CRS        Carpenter Technology Corp        JOKER      46.4 ★★☆☆☆
PTC        PTC Inc                          QUEEN      46.3 ★★☆☆☆
EVER       EverQuote Inc                    QUEEN      45.3 ★★☆☆☆
RDVT       Red Violet Inc                   QUEEN      45.3 ★★☆☆☆ VETO:extreme_overvaluation
MAL        Magellan Aerospace Corp          JOKER      45.1 ★★☆☆☆
PLNT       Planet Fitness Inc               QUEEN      44.0 ★★☆☆☆
NTH        Naturhouse Health SA             ACE        43.7 ★★☆☆☆ VETO:extreme_overvaluation
2NH        Naturhouse Health SA             ACE        43.3 ★★☆☆☆ VETO:extreme_overvaluation
7PV        Birkenstock Holding PLC          QUEEN      42.7 ★★☆☆☆
EBAY       eBay Inc                         QUEEN      39.5 ★☆☆☆☆ VETO:extreme_overvaluation
PAY        Paymentus Holdings Inc           QUEEN      38.6 ★☆☆☆☆ VETO:extreme_overvaluation
HQY        HealthEquity Inc                 QUEEN      38.4 ★☆☆☆☆
PRTH       Priority Technology Holdings In  JOKER      36.0 ★☆☆☆☆ VETO:dead_momentum
