Company;Info - Ticker;Info - Country;Info - Industry;Info - Sector;ROE - Current;FCF margin - Current;Debt-Equity - Current;P/E - Current;Market Cap - Current USD;Info - Report;Dividend - Point;MA - MA 50d;MA - MA 200d;Div. Yield - Current;Dividend - Stable 10y;Dividend - Stable 5y;Dividend g. - Growth 5y;Revenue g. - Growth 5y;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Prim SA;PRM;Spain;Medical Equipment;Health Care;11,0%;10,7%;0,6;15,0;238,6;Q2-2025;6;12,90;12,89;3,5%;10;5;6,3%;10,1%;25,0%;12,75;EUR;EUR;0,85;10,9%;6,9%;16,3%;21,02
Raffles Medical Group Ltd;02M1;Germany;Healthcare Facilities;Health Care;6,7%;12,9%;0,4;26,2;1343,2;Q4-2025;6;0,65;0,64;2,5%;9;4;0,0%;6,1%;1,5%;0,66;EUR;SGD;0,04;10,7%;12,0%;1,3%;0,47
Rightmove PLC;RMV;UK;Online Services;Technology;249,2%;51,0%;0,5;16,4;4207,1;Q2-2025;9;4,46;6,12;2,3%;10;5;16,8%;14,8%;-38,3%;4,27;GBP;GBP;0,26;511,1%;20,2%;15,7%;5,58
Rotork PLC;ROR;UK;Industrial Machinery;Industrials;17,5%;18,8%;0,3;27,1;3408,0;Q2-2025;8;3,50;3,39;2,4%;10;5;14,7%;4,7%;1,4%;3,20;GBP;GBP;0,12;20,0%;7,9%;3,8%;15,43
Russel Metals Inc;RUS;Canada;Industrial Components;Industrials;10,6%;4,5%;0,7;16,0;1994,9;Q4-2025;7;48,00;43,85;3,6%;10;5;2,4%;11,5%;21,1%;48,01;CAD;CAD;3,01;17,2%;21,1%;50,5%;87,73
Seiren Co Ltd;1AB;Germany;Clothing & Footwear;Consumer Durables;10,3%;6,1%;0,4;11,4;1091,7;Q2-2026;8;17,85;16,83;2,6%;5;5;33,4%;10,5%;15,0%;16,90;EUR;JPY;258,02;11,7%;2,1%;17,8%;20,10
Shoe Carnival Inc;SCVL;USA;Clothing & Footwear;Consumer Durables;8,5%;3,1%;0,7;7,5;436,3;Q3-2026;9;18,93;19,60;3,7%;10;5;26,9%;3,2%;-28,3%;16,00;USD;USD;2,12;13,5%;-12,8%;30,0%;46,06
Snap-on Inc;SNA;USA;Measuring & Analysis;Industrials;17,1%;22,8%;0,4;18,7;19046,7;Q4-2025;9;373,06;344,91;2,4%;10;5;14,7%;5,5%;7,7%;365,58;USD;USD;19,52;17,6%;9,7%;11,1%;327,66
Socfinasia SA Holding;Y1T;Germany;Farming;Food and Beverage;34,2%;23,7%;0,5;8,0;573,3;Q2-2025;9;26,18;;18,8%;10;5;44,3%;9,6%;;26,60;EUR;;3,31;30,5%;11,3%;31,6%;53,50
Strategic Education Inc;STRA;USA;Education;Industrials;7,7%;12,9%;0,2;15,0;1903,6;Q4-2025;6;80,99;80,81;2,9%;8;5;0,0%;4,3%;-1,3%;83,68;USD;USD;5,57;4,8%;1,5%;7,9%;97,84
Systemair;SYSR;Sweden;Installation;Industrials;12,1%;5,6%;0,6;21,2;1471,7;Q3-2026;5;79,75;83,88;1,9%;9;5;12,5%;7,5%;-7,2%;70,70;SEK;SEK;3,33;12,2%;45,6%;11,3%;146,94
The Marzetti Co;MZTI;USA;Food Processing;Food and Beverage;17,4%;11,6%;0,3;21,6;3887,9;Q2-2026;8;156,29;168,41;2,7%;10;5;5,5%;5,8%;-19,2%;141,64;USD;USD;6,55;15,8%;16,3%;4,8%;123,64
Thomson Reuters Corp;TRI;USA;Business Support & Services;Industrials;14,9%;17,8%;0,5;23,1;40603,7;Q3-2025;9;97,34;145,49;2,6%;10;5;8,1%;4,3%;-48,2%;90,19;USD;USD;3,90;17,5%;3,8%;10,2%;105,14
TORM Plc;TRMD;USA;Oil & Gas -Transportation;Energy;13,0%;16,6%;0,5;10,0;2857,6;Q4-2025;9;26,46;22,05;6,9%;7;4;16,3%;12,4%;76,9%;29,10;USD;USD;2,91;16,7%;29,1%;19,6%;60,98
Tourmaline Oil Corp;TOU;Canada;Oil & Gas -Exploration;Energy;8,1%;16,6%;0,4;18,2;17976,5;Q3-2025;8;64,26;61,89;5,3%;8;5;46,7%;23,5%;-8,7%;64,28;CAD;CAD;3,53;12,3%;48,4%;9,2%;76,31
Transcontinental Inc;TCL.A;Canada;Packaging;Materials;8,9%;13,3%;0,7;2,8;351,0;Q4-2025;7;20,04;20,43;33,6%;10;5;16,2%;1,3%;-69,9%;5,66;CAD;CAD;2,04;4,6%;5,6%;6,2%;36,27
Trelleborg;TREL B;Sweden;Chemicals;Materials;9,9%;7,0%;0,5;22,2;8087,2;Q4-2025;8;371,68;371,90;2,3%;9;5;9,9%;0,9%;-4,7%;349,60;SEK;SEK;15,76;9,6%;-8,9%;9,5%;243,50
Trigano SA;TRI;France;Auto & Equipment;Consumer Durables;11,5%;8,7%;0,6;11,4;3001,4;Q4-2025;9;160,22;156,47;2,5%;10;5;11,8%;10,9%;34,1%;141,50;EUR;EUR;12,41;21,4%;18,1%;11,4%;208,13
Tristel PLC;TSTL;UK;Medical Equipment;Health Care;23,4%;19,0%;0,4;22,5;222,4;Q2-2026;8;3,84;3,83;3,8%;10;5;17,1%;9,8%;8,0%;3,70;GBP;GBP;0,16;20,6%;14,9%;16,0%;175,54
UIE Plc;I55;Germany;Farming;Food and Beverage;12,5%;26,4%;0,1;12,8;1678,8;Q4-2025;9;47,59;43,18;3,2%;9;5;24,2%;12,8%;14,8%;48,90;EUR;USD;4,48;9,3%;22,1%;5,8%;50,18
Universal Display Corp;OLED;USA;Semiconductors;Technology;13,7%;37,5%;0,1;17,6;4266,0;Q4-2025;9;106,79;129,41;2,0%;8;5;24,6%;8,7%;-35,4%;89,72;USD;USD;5,09;22,6%;76,8%;12,7%;136,17
Uzin Utz SE;UZU;Germany;Chemicals;Materials;11,0%;6,5%;0,6;11,0;373,9;Q2-2025;5;75,37;70,91;2,8%;10;5;7,9%;4,8%;16,4%;67,50;EUR;EUR;6,16;10,2%;1,2%;1,4%;85,08
Van de Velde NV;VAN;Belgium;Clothing & Footwear;Consumer Durables;19,7%;16,0%;0,2;12,0;423,9;Q4-2024;9;30,57;31,10;7,9%;10;5;18,4%;1,1%;-1,6%;30,30;EUR;EUR;2,52;26,8%;-2,8%;9,6%;39,75
Viscofan SA;VIS;Spain;Packaging;Materials;17,1%;12,7%;0,5;17,3;3048,5;Q4-2025;9;57,87;57,01;5,2%;10;5;6,1%;6,5%;-5,9%;60,70;EUR;EUR;3,50;15,1%;2,8%;5,8%;60,19
Weyco Group Inc;WEYS;USA;Clothing & Footwear;Consumer Durables;9,7%;11,8%;0,2;12,5;307,3;Q3-2025;9;32,03;31,10;9,5%;10;5;26,1%;7,5%;7,6%;32,37;USD;USD;2,58;12,5%;54,7%;37,8%;69,16
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
