Company;Info - Ticker;Info - Country;Div. Payout - Current;FCF margin - Current;Revenue g. - Growth 5y;Info - Industry;Profit marg - Current;Market Cap - Current USD;Debt-Equity - Current;P/E - Current;FS & G & Div. - Point;Earnings - Stable 5y;Dividend - Stable 5y;Dividend - Current;Earnings/share - Current;Magic - Rank;MA - MA 200d;MA - MA 50d;Price / MA - MA 200d;RSI - RSI(14);Performance - Perform. 1m;Performance - Perform. 6m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Hammond Power Solutions Inc;HPS.A;Canada;16%;-4,9%;21,5%;Electrical Components;9,5%;1607,5;0,7;26,9;13;5;5;1,10;6,78;2486;148,68;185,04;22,7%;49,7;-8,4%;47,2%;130,0%;182,43;CAD;CAD;6,78;24,9%;-217,1%;41,4%;128,57
HCA Healthcare Inc;HCA;USA;10%;9,6%;8,0%;Healthcare Facilities;9,0%;111549,1;-22,9;16,4;19;5;5;2,88;28,70;1438;448,34;509,71;5,2%;32,7;-11,5%;10,6%;36,5%;471,84;USD;USD;28,70;14,5%;15,2%;20,9%;552,69
Headwater Exploration Inc;HWX;Canada;59%;13,9%;131,4%;Oil & Gas -Exploration;27,4%;2197,0;0,3;17,1;11;5;4;0,43;0,73;1176;8,89;12,08;40,6%;51,7;-3,0%;68,7%;93,8%;12,50;CAD;CAD;0,73;25,8%;28,7%;71,0%;23,24
Hill & Smith PLC;HILS;UK;49%;13,3%;5,5%;Construction & Infrastructure;9,4%;2188,2;0,6;21,5;21;5;5;0,49;1,01;1423;21,38;22,51;1,1%;48,1;-8,7%;4,9%;25,1%;21,60;GBP;GBP;1,01;11,8%;14,7%;27,2%;23,71
Hirose Electric Co Ltd;HRO;Germany;53%;11,2%;8,1%;Semiconductors;15,8%;4054,3;0,1;20,6;20;5;5;490,00;917,53;1638;104,24;110,48;4,6%;46,4;-10,7%;3,8%;4,8%;109,00;EUR;JPY;917,53;16,2%;-1,6%;10,8%;91,00
IDEX Corp;IEX;USA;44%;19,4%;8,0%;Industrial Machinery;14,0%;14342,4;0,7;29,7;21;5;5;2,82;6,41;4278;178,73;199,63;6,6%;46,6;-10,0%;15,3%;5,1%;190,47;USD;USD;6,41;11,1%;8,8%;5,2%;158,92
IMC SA;IM4;Germany;32%;32,8%;3,2%;Farming;39,7%;294,4;0,7;4,2;19;3;2;0,68;2,12;335;6,42;7,24;17,4%;57,7;8,6%;51,4%;-1,3%;7,54;EUR;USD;2,12;12,2%;1,8%;17,2%;18,01
Industrie De Nora SpA;DNR;Italy;23%;3,7%;12,3%;Electrical Components;10,2%;1529,9;0,4;15,2;18;5;2;0,10;0,46;2101;6,99;7,25;0,1%;43,3;-5,8%;7,1%;0,1%;7,00;EUR;EUR;0,46;14,2%;-0,4%;23,2%;12,69
International Seaways Inc;IS5;Germany;47%;2,6%;14,9%;Oil & Gas -Transportation;36,7%;3326,7;0,3;11,5;19;3;5;2,93;6,27;2524;43,98;56,73;39,4%;55,5;-5,7%;57,5%;97,0%;61,30;EUR;USD;6,27;13,8%;-36,8%;101,7%;127,15
Ituran Location & Control Ltd;ITRN;USA;66%;16,7%;7,2%;Semiconductors;16,2%;1017,5;0,7;17,9;19;5;5;1,89;2,85;1018;41,20;48,03;24,1%;57,0;7,8%;43,7%;41,5%;51,15;USD;USD;2,85;27,9%;12,0%;29,9%;63,34
Jensen-Group NV;XD1;Germany;18%;8,3%;14,8%;Industrial Machinery;10,6%;688,2;0,7;12,0;15;5;4;1,00;5,49;1147;60,48;64,96;9,1%;50,8;0,3%;11,1%;38,4%;66,00;EUR;EUR;5,49;12,5%;17,2%;41,2%;119,97
Karooooo Ltd;KARO;USA;68%;32,9%;18,0%;IT Services;19,5%;1534,8;0,6;25,7;16;5;3;22,63;33,09;1969;48,31;47,88;2,8%;59,6;6,5%;-13,8%;19,7%;49,68;USD;ZAR;33,09;29,9%;21,4%;16,2%;41,89
Kri-Kri Milk Industry SA;AO2;Germany;45%;1,6%;19,6%;Food Processing;9,5%;792,9;0,5;24,6;15;5;5;0,40;0,89;2858;19,43;21,91;12,5%;56,6;-8,2%;30,4%;36,6%;21,85;EUR;EUR;0,89;19,6%;-12,8%;13,2%;13,31
Krka DD;KN8;Germany;63%;18,5%;5,5%;Pharmaceuticals;19,9%;7748,3;0,3;17,7;22;5;5;8,25;13,03;1739;208,84;229,80;10,1%;53,4;-0,9%;9,5%;;230,00;EUR;EUR;13,03;19,4%;5,6%;7,0%;167,67
Luka Koper DD;2FA;Germany;40%;13,4%;12,0%;Marine & Sea;19,8%;1386,0;0,4;17,2;16;5;5;2,10;5,24;2770;72,45;89,19;24,2%;57,1;1,1%;33,3%;;90,00;EUR;EUR;5,24;10,0%;217,0%;18,0%;87,50
M P Evans Group PLC;MPE;UK;34%;33,4%;16,1%;Farming;28,9%;1006,9;0,2;10,3;23;5;5;0,68;2,03;518;13,11;14,44;16,0%;59,4;3,4%;13,9%;;15,20;GBP;USD;2,03;16,5%;121,6%;40,2%;30,04
Magnolia Oil & Gas Corp;MGY;USA;35%;32,5%;19,4%;Oil & Gas -Exploration;24,8%;5760,4;0,5;17,9;14;4;4;0,60;1,73;1905;24,42;28,06;27,1%;61,7;8,7%;33,5%;21,7%;31,04;USD;USD;1,73;28,5%;34,3%;17,5%;36,36
Matson Inc;68M;Germany;10%;9,3%;7,0%;Marine & Sea;13,3%;4897,2;0,7;11,7;20;5;5;1,40;13,99;2579;104,19;136,06;34,4%;55,5;1,4%;67,7%;19,7%;140,00;EUR;USD;13,99;19,1%;8,7%;25,6%;184,67
Minth Group Ltd;M3I;Germany;18%;6,4%;14,3%;Auto & Equipment;10,4%;4804,3;0,8;14,6;20;5;4;0,40;2,21;2349;3,57;4,19;7,0%;44,5;-19,1%;-3,5%;55,3%;3,82;EUR;CNY;2,21;10,6%;58,7%;12,8%;3,81
