Company;Info - Ticker;Info - Sector;Info - Industry;Info - Country;EV/EBITDA - Current;FCF margin - Current;Gross marg - Average 1y;Debt-Equity - Current;P/B - Current;Earnings - Stable 5y;Market Cap - Current USD;F-Score - Point;P/E - Current;MA - MA 20d;Price / MA - MA 20d;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Report Currency;Info - Price Currency;Earnings/share - Average 5y;ROIC - Current;FCF growth - Growth 5y;Earnings g. - Growth 5y;Fair value
Stride Inc;LRN;Industrials;Education;USA;6,5;6,4%;39,2%;0,5;2,5;5;3870,8;8;12,1;86,34;3,8%;4,3%;-30,6%;89,64;USD;USD;4,89;21,8%;46,6%;32,9%;150,46
Surgical Science;SUS;Health Care;Medical Equipment;Sweden;6,8;-5,5%;67,8%;0,1;0,4;5;165,4;6;24,8;31,32;3,5%;4,0%;-74,5%;32,42;SEK;SEK;2,84;1,8%;-220,1%;23,3%;33,59
Swedencare;SECARE;Food and Beverage;Health Products;Sweden;12,7;-7,6%;56,8%;0,4;0,6;5;402,8;5;72,0;24,23;4,0%;4,8%;-35,9%;25,20;SEK;SEK;0,48;0,6%;12,6%;-9,0%;9,38
Tecsys Inc;TCS;Technology;IT Services;Canada;29,7;5,1%;48,9%;1,0;6,2;5;313,2;8;79,5;27,91;2,6%;12,9%;-28,8%;28,62;CAD;CAD;0,25;14,0%;-2,2%;-6,4%;13,78
TG Therapeutics Inc;NKB2;Health Care;Biotechnology;Germany;40,2;27,5%;88,3%;0,6;7,5;2;4552,1;6;10,9;25,94;10,5%;13,5%;-20,4%;28,67;USD;EUR;0,01;58,3%;21,9%;26,8%;35,69
The Descartes Systems Group Inc;DSG;Technology;IT Services;Canada;19,8;12,7%;76,0%;0,2;3,9;5;6315,1;7;39,0;98,14;1,4%;8,0%;-31,7%;99,51;USD;CAD;1,42;11,8%;-7,7%;24,0%;64,82
The GEO Group Inc;GEO;Industrials;Security;USA;9,8;0,4%;100,0%;1,6;1,7;5;2532,5;6;10,0;16,02;15,0%;20,5%;-38,5%;18,42;USD;USD;0,92;7,4%;-45,8%;14,5%;19,23
Tripadvisor Inc;TRIP;Consumer Durables;Leisure;USA;7,3;9,6%;93,1%;3,1;2,1;3;1356,3;8;33,9;9,92;9,4%;8,7%;-22,7%;10,85;USD;USD;0,01;6,8%;36,0%;16,5%;12,55
Vimian Group;VIMIAN;Health Care;Medical Supplies;Sweden;15,1;-1,7%;69,1%;0,6;2,0;4;1517,9;8;44,8;26,40;8,6%;11,4%;-35,6%;28,68;EUR;SEK;0,02;3,3%;14,4%;-18,7%;18,66
Vitec Software;VIT B;Technology;IT Services;Sweden;8,0;-2,0%;81,5%;1,1;2,0;5;964,5;6;22,1;232,77;3,9%;3,5%;-56,9%;241,80;SEK;SEK;8,76;5,2%;-190,8%;17,1%;113,03
Vtex;VTEX;Technology;IT Services;USA;25,2;15,6%;74,3%;0,5;3,1;1;727,5;8;36,5;3,92;3,3%;13,8%;-22,0%;4,05;USD;USD;0,01;30,1%;98,2%;89,1%;6,18
WM Technology Inc;MAPS;Technology;IT Services;USA;1,4;11,7%;95,1%;0,4;0,5;3;73,2;5;10,1;0,67;5,0%;3,4%;-37,6%;0,71;USD;USD;0,01;8,0%;-21,3%;-35,1%;0,81
Yelp Inc;YELP;Technology;Online Services;USA;5,3;26,7%;91,0%;0,3;2,2;4;1592,8;8;10,9;24,44;2,9%;11,3%;-34,1%;25,15;USD;USD;1,35;31,5%;17,7%;60,1%;68,29
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
