Info - Ticker;Company;P/E - Current;Info - Sector;Info - Country;Info - Industry;FCF margin - Current;Debt-Equity - Current;Profit marg - Current;P/E - Current;Market Cap - Current USD;Canslim - 0-100;Earnings g. - Y-Y Growth;Earnings g. - Growth 1y;Earnings g. - Growth 3y;MA - MA 50d;MA - MA 200d;Revenue g. - Growth 3y;RS Rank - L - 0-100;RS Rank - L - Industry;Volume Rank - 0-100;Trend - Price/H-L 1y;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
INCY;Incyte Corp;14;Health Care;USA;Biotechnology;25,90%;0,3;25,00%;14;18005,6;57;46,20%;4018,80%;62,70%;101,19;89,58;14,80%;74;49;28;66%;184017,4;-10,40%;48,80%;92,24;USD;USD;3,05;38,00%;46,90%;100,67
ISSC;Innovative Solutions & Support;27,1;Industrials;USA;Military & Defense;13,60%;0,6;21,00%;27,1;516,4;94;475,00%;184,20%;45,60%;23,04;15,34;37,30%;98;64;68;94%;5277,4;24,60%;325,40%;29,31;USD;USD;0,61;20,70%;30,10%;20,99
KEX;Kirby Corp;19,8;Industrials;USA;Marine & Sea;12,10%;0,8;10,50%;19,8;7011,3;59;125,30%;28,70%;46,20%;125,96;108,58;6,50%;78;65;43;84%;71655,7;-1,50%;25,70%;125,89;USD;USD;2,6;2,90%;27,70%;99,44
LGCY;Legacy Education Inc;19,5;Industrials;USA;Education;6,40%;0,6;11,00%;19,5;162,7;42;45,50%;32,80%;43,90%;11,67;10,85;28,40%;85;37;49;82%;1662,5;6,60%;76,70%;13,06;USD;USD;0,44;30,00%;12,00%;19,27
LMAT;LeMaitre Vascular Inc;43,5;Health Care;USA;Medical Equipment;29,80%;0,6;23,10%;43,5;2509,4;52;38,00%;30,10%;39,50%;93,5;88,58;15,60%;82;38;88;90%;25646,3;22,30%;30,20%;110,85;USD;USD;1,62;16,80%;19,40%;71,95
LGND;Ligand Pharmaceuticals Inc;32,5;Health Care;USA;Biotechnology;14,20%;0,5;46,40%;32,5;4051,7;98;238,40%;3027,30%;183,50%;197,47;171,93;11,00%;87;49;67;86%;41408,4;10,30%;90,60%;209,52;USD;USD;2,5;5,90%;105,80%;107,17
4M7A;Magellan Aerospace Corp;29,1;Industrials;Germany;Military & Defense;5,20%;0,4;4,40%;29,1;889,1;95;120,00%;139,40%;59,80%;13,61;11,39;9,60%;80;64;98;78%;9052,6;4,40%;107,40%;14,1;EUR;EUR;0,23;1,50%;67,50%;17
MAL;Magellan Aerospace Corp;27,7;Industrials;Canada;Military & Defense;5,20%;0,4;4,40%;27,7;929;62;120,00%;139,40%;59,80%;21,9;18,41;9,60%;63;64;31;77%;9515,9;-1,70%;100,50%;21,9;CAD;CAD;0,23;1,50%;67,50%;13,68
MRVL;Marvell Technology Inc;28,3;Technology;USA;Semiconductors;17,00%;0,6;32,60%;28,3;75440,8;94;104,30%;403,90%;163,60%;82,11;80,17;11,40%;71;60;65;73%;771005,2;10,80%;24,50%;87,62;USD;USD;0,06;0,60%;57,10%;79,67
MBB;MBB SE;19,6;Industrials;Germany;Industrial Components;9,80%;0,7;4,60%;19,6;1166,1;64;371,10%;107,20%;70,80%;208,12;180,47;9,20%;71;48;19;73%;11873,2;-10,00%;59,40%;197,6;EUR;EUR;3,84;4,50%;36,30%;92,92
MU;Micron Technology Inc;43,4;Technology;USA;Semiconductors;11,00%;0,5;28,10%;43,4;516906,8;95;177,40%;203,70%;58,60%;396,92;229,31;39,60%;99;60;54;98%;5282787,5;9,70%;347,80%;461,73;USD;USD;4,29;8,00%;15,20%;123,4
NBIX;Neurocrine Biosciences Inc;27,2;Health Care;USA;Pharmaceuticals;26,20%;0,4;16,70%;27,2;13005,6;16;49,50%;41,50%;44,00%;133,05;137,01;24,30%;52;45;27;61%;132917,6;1,80%;17,20%;130,71;USD;USD;2,67;15,60%;1,90%;112,77
NB3;Neurocrine Biosciences Inc;27,9;Health Care;Germany;Pharmaceuticals;26,20%;0,4;16,70%;27,9;12378,8;4;49,50%;41,50%;44,00%;112,36;116,62;24,30%;43;45;6;59%;126038,6;3,30%;12,10%;113,1;EUR;USD;2,67;15,60%;1,90%;112,77
NVDA;NVIDIA Corp;36,6;Technology;USA;Semiconductors;44,80%;0,3;55,60%;36,6;4394364;86;96,70%;66,00%;203,70%;185,1;178,32;100,00%;74;60;56;75%;44910400;-4,00%;50,90%;180,4;USD;USD;1,94;85,40%;94,90%;190
1NVDA;NVIDIA Corp;38;Technology;Italy;Semiconductors;44,80%;0,3;55,60%;38;4253423;75;96,70%;66,00%;203,70%;158,17;149,68;100,00%;73;60;54;75%;43307576;3,40%;44,20%;158,74;EUR;USD;1,94;85,40%;94,90%;159,55
OSPN;OneSpan Inc;5,4;Technology;USA;IT Services;20,70%;0,5;30,00%;5,4;395,9;18;55,40%;28,20%;94,00%;11,45;13,79;3,60%;21;33;77;3%;4045,6;-7,40%;-35,70%;10,36;USD;USD;0,31;3,90%;73,30%;23,97
PAY;Paymentus Holdings Inc;46,8;Technology;USA;IT Services;10,40%;0,2;5,60%;46,8;3109,9;21;45,50%;47,20%;404,20%;26,44;31,34;34,00%;28;33;55;15%;31783;1,70%;-12,40%;24,83;USD;USD;0,23;10,90%;48,30%;17,33
PEN;Penumbra Inc;74;Health Care;USA;Medical Equipment;12,50%;0,3;12,70%;74;13163,8;85;37,50%;1169,40%;353,70%;340,47;283,49;18,30%;76;38;63;83%;134533,9;-0,90%;22,50%;338,24;USD;USD;1,48;5,20%;65,40%;184,13
PLNT;Planet Fitness Inc;28,5;Consumer Durables;USA;Leisure;19,20%;-7,4;16,50%;28,5;6234,7;1;30,40%;30,30%;30,50%;89,51;100,98;12,20%;21;40;78;4%;63718,6;-20,50%;-24,10%;74,65;USD;USD;1,59;6,10%;73,60%;74,53
PLEJD;Plejd;49,4;Industrials;Sweden;Electrical Components;8,50%;0,4;19,30%;49,4;889,8;34;47,40%;72,20%;40,60%;824,2;823,79;29,50%;83;54;25;65%;8898,5;-10,80%;65,10%;796;SEK;SEK;7,86;18,40%;57,10%;222,74
PRTH;Priority Technology Holdings Inc;7,1;Technology;USA;IT Services;7,90%;-24,8;5,80%;7,1;394,2;31;320,00%;325,80%;50,40%;5,6;6,65;12,80%;23;33;30;11%;4028,7;-11,50%;-36,10%;4,94;USD;USD;-0,22;1,80%;13,00%;2,13
PTC;PTC Inc;21,9;Technology;USA;IT Services;31,10%;0,7;28,60%;21,9;17979,7;48;105,90%;109,80%;48,90%;159,94;183,37;10,90%;34;33;50;19%;183752,5;-3,50%;-5,50%;150,11;USD;USD;4,18;9,70%;10,90%;135,75
RDVT;Red Violet Inc;42,1;Technology;USA;IT Services;20,20%;0,1;14,60%;42,1;555,9;68;185,70%;84,30%;186,40%;44,92;49,07;19,20%;29;33;73;23%;5680,9;-6,40%;2,60%;39,6;USD;USD;0,5;12,50%;29,60%;21,91
STRT;Strattec Security Corp;11;Consumer Durables;USA;Auto & Equipment;11,60%;0,5;4,60%;11;297,6;74;266,70%;65,80%;81,10%;83,09;71,82;5,90%;72;39;38;69%;3042;-18,50%;65,30%;73,43;USD;USD;3,11;6,50%;2,40%;43,42
SOC;Subsea 7 SA;19,6;Energy;Germany;Oil & Gas - Services;16,80%;0,8;5,80%;19,6;7501,8;96;600,00%;104,40%;90,80%;21,52;17,94;11,30%;80;71;75;78%;76382,1;1,20%;60,80%;23,06;EUR;USD;0,49;3,30%;18,90%;240
SUBC;Subsea7;18,3;Energy;Norway;Oil & Gas - Services;17,70%;0,8;5,80%;18,3;7591,9;100;485,80%;101,90%;90,10%;246,22;209,66;11,30%;82;71;55;81%;78196,2;-3,60%;51,30%;253,4;NOK;USD;0,48;3,30%;19,20%;171,01
TASK;TaskUs Inc;9,5;Technology;USA;IT Services;6,20%;0,8;8,60%;9,5;972,3;51;230,00%;119,20%;40,60%;10,86;14,1;7,20%;27;33;83;14%;9936,7;3,70%;-19,80%;10,8;USD;USD;0,39;5,10%;26,30%;15,3
