Company;P/E - Current;Info - Country;Info - Industry;Info - Ticker;ROE - Current;Debt-Equity - Current;FCF margin - Current;Market Cap - Current USD;Performance - Perform. 1y;RS Rank - L - 0-100;Price / MA - MA 50d;Price / MA - MA 150d;Price / MA - MA 200d;MA - 50/150;MA -  50/200;MA - 150/200;MA200 - Trend 1m;Stock price - Price/L 1y;Stock price - Price/H 1y;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Stock price - Current;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 3y;FCF growth - Growth 5y;Earnings g. - Growth 3y;Fair value
Firan Technology Group Corp;40;Canada;Military & Defense;FTG;13,50%;0,8;11,50%;386,3;177,60%;86;17,70%;52,50%;58,30%;29,60%;34,50%;3,70%;8,20%;210%;4%;10;5;5;20,79;20,79;CAD;CAD;0,52;11,90%;19,30%;158,80%;20,3
Games Workshop Group PLC;28,1;UK;Leisure;GAW;64,70%;0,4;32,20%;7296,2;24,00%;68;1,50%;3,30%;5,10%;1,80%;3,50%;1,70%;1,00%;43%;12%;22;5;5;175,6;175,6;GBP;GBP;6,26;98,10%;12,20%;15,20%;99,87
Garmin Ltd;27,5;USA;Semiconductors;GRMN;18,50%;0,2;24,80%;45739,8;9,20%;65;4,10%;6,40%;6,50%;2,20%;2,20%;0,00%;1,80%;40%;9%;22;5;5;237,65;237,65;USD;USD;8,65;24,90%;12,10%;19,60%;162,72
Gaztransport et technigaz SA;18,2;France;Oil & Gas - Services;GTT;70,10%;0,8;55,90%;8297,8;46,10%;88;6,50%;17,50%;19,30%;10,30%;12,00%;1,60%;2,50%;83%;5%;18;5;5;203,6;203,6;EUR;EUR;11,16;204,90%;17,40%;47,50%;234,61
Global Ship Lease Inc;3,4;USA;Marine & Sea;GSL;23,70%;0,6;2,90%;1367,4;66,20%;82;0,60%;11,20%;16,30%;10,50%;15,60%;4,60%;4,70%;117%;7%;19;5;5;38,41;38,41;USD;USD;11,14;19,10%;-29,00%;12,90%;136,5
Gorman-Rupp Co;30,9;USA;Industrial Machinery;GRC;12,80%;1,1;12,10%;1643,5;73,90%;88;1,80%;21,30%;28,80%;19,20%;26,50%;6,20%;6,10%;102%;8%;17;5;5;62,5;62,5;USD;USD;2,02;5,80%;17,20%;67,50%;51,83
Gulfport Energy Corp;9,5;USA;Oil & Gas -Exploration;GPOR;23,30%;0,7;22,50%;3772,2;9,50%;61;1,90%;5,90%;8,20%;3,90%;6,10%;2,20%;0,70%;35%;8%;14;2;5;207;207;USD;USD;21,74;18,70%;125,80%;2,10%;581,76
Halma PLC;42;UK;Industrial Components;HLMA;17,50%;0,7;10,20%;18367,5;46,50%;78;1,50%;7,20%;10,00%;5,60%;8,30%;2,60%;2,80%;67%;8%;22;5;5;38,59;38,59;GBP;GBP;0,92;12,00%;2,50%;14,00%;27,95
Harju Elekter Group;10;Germany;Electrical Components;HD8;10,90%;0,7;5,90%;118,1;31,20%;75;7,60%;21,30%;23,10%;12,80%;14,50%;1,50%;2,60%;36%;4%;13;4;4;5,8;5,8;EUR;EUR;0,58;5,70%;16,90%;57,00%;16,29
Headwater Exploration Inc;17,1;Canada;Oil & Gas -Exploration;HWX;23,00%;0,3;13,90%;2197;93,80%;77;3,50%;31,10%;40,60%;26,70%;35,90%;7,30%;8,70%;163%;8%;11;5;5;12,5;12,5;CAD;CAD;0,73;26,00%;28,70%;0,90%;15,72
Hemisphere Energy Corp;8,3;Germany;Oil & Gas -Exploration;N4Q1;38,30%;0,6;38,90%;173,2;39,30%;80;12,50%;23,60%;27,00%;9,90%;12,90%;2,80%;4,40%;57%;12%;15;4;5;1,63;1,63;EUR;EUR;0,32;37,30%;36,00%;15,10%;3,86
Hologic Inc;31,3;USA;Medical Equipment;HOLX;10,40%;0,8;23,10%;16997,5;23,20%;66;0,50%;3,60%;6,10%;3,10%;5,60%;2,40%;2,40%;46%;0%;14;5;5;75,65;75,65;USD;USD;2,42;10,90%;-12,60%;9,40%;51,63
Hydratec Industries NV;11,3;Netherlands;Industrial Machinery;HYDRA;20,60%;0,9;10,00%;300,1;27,30%;77;6,70%;15,20%;18,00%;7,90%;10,50%;2,40%;2,70%;32%;4%;19;5;5;210;210;EUR;EUR;18,55;17,60%;15,70%;14,60%;474,17
Höegh Autoliners;5,2;Norway;Marine & Sea;HAUTO;40,30%;0,8;29,20%;2682,2;83,90%;92;14,90%;32,10%;33,50%;14,90%;16,20%;1,10%;5,20%;144%;1%;17;4;4;140,6;140,6;NOK;USD;2,69;35,80%;;19,80%;190,33
IES Holdings Inc;28,3;USA;Construction & Infrastructure;IESC;35,30%;0,7;7,70%;9597,7;185,70%;92;2,90%;14,50%;21,60%;11,30%;18,20%;6,20%;6,10%;229%;10%;12;5;5;482,5;482,5;USD;USD;17,04;40,90%;23,10%;55,00%;509,71
Innoviva Inc;5,7;USA;Biotechnology;INVA;23,10%;0,4;51,20%;1549,4;28,10%;77;4,00%;12,60%;13,70%;8,30%;9,40%;1,00%;1,40%;39%;9%;17;5;5;22,99;22,99;USD;USD;4,02;16,00%;-0,70%;9,40%;55,6
Itafos Inc;4,1;Canada;Farming;IFOS;28,80%;0,9;9,80%;541,9;69,60%;66;12,90%;21,20%;23,50%;7,40%;9,30%;1,80%;5,40%;91%;18%;17;4;4;3,8;3,8;CAD;USD;0,66;12,90%;31,50%;2,70%;8,02
ITT Inc;31,4;USA;Industrial Machinery;ITT;11,90%;0,5;14,90%;15340,1;47,30%;75;0,20%;5,30%;8,50%;5,20%;8,30%;3,00%;2,50%;83%;8%;20;5;4;193,2;193,2;USD;USD;6,15;16,50%;14,70%;11,60%;154,85
Ituran Location & Control Ltd;17,9;USA;Semiconductors;ITRN;25,90%;0,7;16,70%;1017,5;41,50%;82;6,50%;21,90%;24,10%;14,40%;16,60%;1,90%;3,60%;70%;4%;19;5;5;51,15;51,15;USD;USD;2,85;30,80%;12,00%;16,10%;58,1
JDE Peets NV;19,4;Netherlands;Food Processing;JDEP;7,10%;1,1;10,60%;16982,7;56,00%;70;0,30%;0,70%;5,50%;0,40%;5,20%;4,70%;3,20%;65%;1%;17;5;5;31,8;31,8;EUR;EUR;1,64;3,60%;4,90%;1,50%;26,46
Jenoptik AG;23,8;Germany;Semiconductors;JEN;7,40%;0,7;9,20%;1778;46,80%;83;5,70%;30,70%;34,90%;23,70%;27,70%;3,30%;4,50%;97%;5%;14;5;5;28,28;28,28;EUR;EUR;1,19;6,00%;13,80%;3,30%;27,83
Jensen-Group NV;12,1;Belgium;Industrial Machinery;JEN;18,00%;0,7;8,30%;690,3;38,20%;85;1,30%;7,20%;8,90%;5,80%;7,50%;1,60%;2,80%;64%;10%;16;5;4;66,2;66,2;EUR;EUR;5,49;14,70%;17,20%;37,40%;113,91
John B Sanfilippo & Son Inc;13,6;USA;Food Processing;JBSS;19,00%;0,7;4,00%;959,6;16,50%;76;4,70%;15,40%;18,00%;10,20%;12,60%;2,20%;2,60%;41%;3%;16;5;5;82,19;82,19;USD;USD;6,03;14,60%;-4,70%;3,60%;87,77
Kendrion NV;19,4;Netherlands;Industrial Machinery;KENDR;12,70%;0,8;9,80%;291,3;56,60%;88;5,40%;15,00%;21,90%;9,00%;15,60%;6,00%;4,50%;85%;3%;14;3;5;16,88;16,88;EUR;EUR;0,87;3,60%;0,20%;31,60%;14,73
Kirby Corp;21,3;USA;Marine & Sea;KEX;10,50%;0,8;14,30%;7569,9;33,80%;82;6,30%;23,40%;23,80%;16,10%;16,50%;0,40%;2,10%;71%;1%;13;3;5;135,92;135,92;USD;USD;6,37;5,60%;3,60%;46,20%;150,31
KWS SAAT SE & Co KGaA;13;Germany;Farming;KWS;12,10%;0,8;10,20%;2729,5;34,00%;69;9,50%;11,00%;13,00%;1,40%;3,20%;1,80%;1,80%;49%;1%;20;5;5;74,9;74,9;EUR;EUR;5,78;10,60%;8,40%;14,80%;85,57
L3Harris Technologies Inc;41,5;USA;Military & Defense;LHX;8,20%;1,1;12,20%;66714,4;69,70%;83;0,40%;13,60%;18,10%;13,10%;17,60%;4,00%;4,70%;82%;6%;21;5;5;356;356;USD;USD;8,57;4,30%;5,40%;15,70%;242,66
LeMaitre Vascular Inc;42,5;USA;Medical Equipment;LMAT;14,70%;0,6;30,50%;2456;27,40%;82;10,00%;19,20%;20,50%;8,40%;9,60%;1,10%;3,40%;52%;6%;21;5;5;108,49;108,49;USD;USD;2,55;20,10%;17,10%;39,50%;77,37
Ligand Pharmaceuticals Inc;31;USA;Biotechnology;LGND;12,20%;0,5;18,90%;3859,7;90,40%;85;0,70%;4,50%;12,80%;3,80%;12,00%;7,90%;6,90%;113%;12%;9;2;5;199,59;199,59;USD;USD;6,44;8,10%;-7,20%;183,50%;235,94
Limes Schlosskliniken AG;31,3;Germany;Healthcare Facilities;LIK;19,50%;0,9;2,20%;158,1;75,00%;82;4,30%;24,60%;27,10%;19,40%;21,90%;2,10%;5,20%;12594%;6%;11;4;5;490;490;EUR;EUR;15,67;16,20%;22,20%;3,00%;301,26
Liquidity Services Inc;32,5;USA;Retailers;LQDT;13,80%;0,7;10,90%;963,8;-1,30%;66;0,30%;8,50%;12,40%;8,20%;12,10%;3,60%;2,60%;44%;7%;14;5;5;31,16;31,16;USD;USD;0,96;74,60%;8,80%;12,20%;21,07
Lisi SA;39,8;France;Military & Defense;FII;12,80%;0,9;7,80%;2772,6;88,10%;88;0,70%;8,40%;13,30%;7,70%;12,60%;4,50%;4,80%;120%;15%;16;4;5;55,2;55,2;EUR;EUR;1,39;5,60%;22,60%;8,70%;35,11
Masterflex SE;14,9;Germany;Chemicals;MZX;13,10%;0,4;12,00%;146,2;39,10%;63;2,40%;3,00%;3,90%;0,60%;1,40%;0,80%;1,90%;64%;8%;21;5;5;13,85;13,85;EUR;EUR;0,93;12,90%;25,00%;4,70%;23,41
Micro Systemation;24,7;Sweden;Electronic Equipment;MSAB B;32,80%;1,1;15,60%;125,8;29,60%;83;1,10%;3,30%;6,00%;2,10%;4,80%;2,60%;2,40%;49%;13%;14;5;5;65,6;65,6;SEK;SEK;2,66;406,40%;6,30%;44,00%;96,26
Moury Construct SA;11,2;Belgium;Construction & Infrastructure;MOUR;19,20%;0,7;10,20%;313,3;44,60%;90;7,10%;17,00%;18,10%;9,30%;10,30%;0,90%;2,70%;49%;2%;18;5;5;720;720;EUR;EUR;64,4;104,00%;88,90%;13,60%;653,27
M-Tron Industries Inc;27,4;USA;Semiconductors;MPTI;19,30%;0,1;13,50%;196,5;49,10%;87;6,80%;21,50%;29,90%;13,80%;21,60%;6,90%;4,30%;90%;13%;11;5;5;69,21;69,21;USD;USD;2,53;33,60%;35,10%;55,70%;86,35
National Energy Services Reunited;31,4;USA;Oil & Gas - Services;NESR;7,30%;0,9;3,00%;2201,3;203,10%;98;4,20%;41,90%;65,80%;36,20%;59,10%;16,80%;14,70%;335%;16%;8;3;5;22,64;22,64;USD;USD;0,72;4,50%;-8,60%;56,70%;16,83
National Healthcare Corp;21;USA;Healthcare Facilities;NHC;11,20%;0,4;7,60%;2518,1;73,90%;86;2,50%;18,10%;25,90%;15,10%;22,80%;6,60%;5,40%;83%;7%;19;5;5;162,75;162,75;USD;USD;7,76;9,70%;9,90%;74,50%;198,12
Navigator Holdings Ltd;13,2;USA;Oil & Gas -Transportation;NVGS;8,20%;0,8;7,80%;1361,2;51,00%;80;3,30%;13,00%;16,40%;9,40%;12,60%;3,00%;3,80%;89%;7%;13;3;5;19,92;19,92;USD;USD;1,51;4,90%;-12,10%;29,80%;35,31
New York Times Co;40,6;USA;Broadcasting & Publishing;NYT;16,90%;0,5;16,80%;13980,9;70,90%;87;10,90%;27,20%;32,70%;14,70%;19,70%;4,40%;4,90%;91%;1%;23;5;5;85,69;85,69;USD;USD;2,11;17,40%;19,50%;26,60%;51,83
Noram Drilling;34,2;Norway;Industrial Machinery;NORAM;9,50%;0,4;15,30%;201,4;52,50%;95;19,50%;42,60%;51,40%;19,30%;26,70%;6,20%;8,30%;113%;5%;12;3;4;46,5;46,5;NOK;USD;0,13;14,00%;33,80%;23,20%;26,79
nVent Electric PLC;44,9;USA;Electrical Components;NVT;19,00%;0,8;14,90%;19156,7;121,60%;87;2,30%;10,50%;17,70%;8,10%;15,10%;6,50%;5,90%;183%;9%;15;4;5;117,96;117,96;USD;USD;2,63;9,70%;18,60%;14,30%;84,08
Oil-Dri Corp of America;17,3;USA;Chemicals;ODC;19,90%;0,4;10,60%;940;45,00%;81;6,60%;14,50%;14,60%;7,30%;7,50%;0,10%;2,50%;63%;3%;19;5;5;67,57;67,57;USD;USD;3,91;17,70%;34,30%;20,60%;99,97
Okeanis Eco Tankers;13;Norway;Marine & Sea;OET;21,50%;1,1;17,60%;1967,2;113,80%;97;12,70%;34,10%;46,20%;19,00%;29,70%;9,00%;8,70%;168%;9%;18;4;5;495;495;NOK;USD;3,77;12,80%;30,50%;12,80%;624,72
Perdoceo Education Corp;15,2;USA;Education;PRDO;16,40%;0,3;28,10%;2432,1;43,70%;79;11,50%;14,70%;16,30%;2,80%;4,30%;1,40%;1,20%;56%;3%;17;5;5;37,53;37,53;USD;USD;2,47;36,90%;3,80%;20,50%;40,15
Perma-Pipe International Holdings;17,8;USA;Construction Supplies;PPIH;13,90%;1,2;6,10%;246,8;165,20%;88;0,60%;6,90%;10,70%;6,30%;10,10%;3,60%;6,70%;249%;16%;9;4;3;30,79;30,79;USD;USD;1,73;11,40%;37,20%;32,10%;32,42
PharmaNutra SpA;42,5;Germany;Pharmaceuticals;761;26,40%;0,8;8,90%;817;58,30%;87;15,70%;39,70%;45,60%;20,70%;25,80%;4,20%;4,90%;101%;1%;15;5;5;77,4;77,4;EUR;EUR;1,82;25,00%;-5,10%;5,30%;31,22
Photronics Inc;17,8;USA;Semiconductors;PLAB;8,50%;0,1;1,00%;2434,9;100,40%;92;10,50%;36,70%;48,80%;23,70%;34,70%;8,90%;8,30%;148%;10%;15;5;5;40,85;40,85;USD;USD;2,29;14,30%;-32,20%;5,30%;32,92
PHX Energy Services Corp;10,3;Canada;Oil & Gas -Drilling;PHX;23,90%;0,9;1,60%;418,3;41,00%;75;14,80%;44,10%;46,30%;25,50%;27,50%;1,60%;7,40%;81%;11%;18;4;5;12,46;12,46;CAD;CAD;1,21;25,70%;4,50%;11,20%;23,33
Plexus Corp;31,6;USA;Semiconductors;PLXS;11,90%;1,2;3,90%;5589,7;62,70%;88;5,20%;26,30%;32,70%;20,10%;26,10%;5,00%;5,10%;100%;6%;15;5;4;207,35;207,35;USD;USD;6,56;11,80%;0,70%;9,20%;116,16
Powell Industries Inc;35,3;USA;Electrical Components;POWL;28,00%;0,6;16,60%;6617,5;211,50%;97;5,40%;38,80%;55,00%;31,80%;47,00%;11,60%;12,60%;258%;11%;16;5;3;547,81;547,81;USD;USD;15,52;100,00%;79,40%;50,10%;584,64
Pricesmart Inc;31,1;USA;Food Retail;PSMT;11,50%;0,8;1,90%;4588,8;73,00%;85;2,20%;16,30%;21,70%;13,70%;19,10%;4,70%;4,00%;88%;3%;15;5;5;152,48;152,48;USD;USD;4,9;12,10%;9,90%;11,80%;92,79
Revolutionrace;23,1;Sweden;Clothing & Footwear;RVRC;25,70%;0,4;17,80%;715,4;48,00%;88;1,70%;10,20%;17,50%;8,40%;15,60%;6,60%;4,60%;68%;5%;17;5;5;66,65;66,65;SEK;SEK;2,88;30,60%;11,00%;10,20%;56,54
REX American Resources Corp;30,5;USA;Chemicals;REX;7,70%;0,1;4,00%;1539,3;136,40%;93;21,50%;33,70%;42,10%;10,10%;17,00%;6,30%;7,50%;205%;7%;11;5;5;45,41;45,41;USD;USD;1,49;20,20%;7,60%;23,80%;47,49
Royalty Pharma PLC;27,1;USA;Biotechnology;RPRX;7,90%;1;105,40%;20875,4;55,80%;84;8,00%;20,60%;23,70%;11,70%;14,50%;2,60%;3,90%;64%;1%;15;5;5;48,57;48,57;USD;USD;1,79;5,90%;2,30%;161,60%;56,63
Sandvik;31,3;Sweden;Industrial Machinery;SAND;15,80%;0,8;10,60%;45960,7;73,90%;93;0,00%;18,30%;26,20%;18,30%;26,20%;6,70%;6,20%;118%;9%;19;5;5;366,4;366,4;SEK;SEK;11,71;10,80%;3,80%;4,50%;200,96
Saputo Inc;27,9;Canada;Food Processing;SAP;9,60%;1;5,40%;13382,5;72,70%;64;2,60%;12,30%;19,40%;9,50%;16,40%;6,30%;5,40%;82%;1%;13;4;5;43,6;43,6;CAD;CAD;1,56;2,40%;3,10%;1,50%;24,68
Savaria Corp;30,6;Canada;Industrial Machinery;SIS;9,90%;0,8;13,20%;1421,9;64,60%;63;6,20%;16,90%;20,70%;10,00%;13,70%;3,30%;3,40%;80%;2%;15;5;5;26,89;26,89;CAD;CAD;0,88;5,50%;19,40%;17,00%;17,05
Scanfil;18,5;Finland;Semiconductors;SCANFL;13,00%;0,9;4,60%;837,8;28,70%;83;1,50%;8,50%;8,80%;7,00%;7,30%;0,30%;3,40%;47%;5%;15;5;4;11,62;11,62;EUR;EUR;0,63;14,70%;-2,00%;5,30%;11,68
