Info - Ticker;Company;P/E - Current;Info - Sector;Info - Country;Info - Industry;Info - Ticker;ROE - Current;Debt-Equity - Current;FCF margin - Current;Market Cap - Current USD;Performance - Perform. 1y;RS Rank - L - 0-100;Price / MA - MA 50d;Price / MA - MA 150d;Price / MA - MA 200d;MA - 50/150;MA -  50/200;MA - 150/200;MA200 - Trend 1m;Stock price - Price/L 1y;Stock price - Price/H 1y;FS & G & Div. - Point;Earnings - Stable 5y;OP Cash F. - Stable 5y;Stock price - Current;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Current;ROIC - Average 5y;Earnings g. - Growth 5y;Fair value
68M;Matson Inc;11;Industrials;Germany;Marine & Sea;68M;16,10%;0,7;4,60%;4582,4;10,10%;75;0,10%;26,10%;28,90%;26,00%;28,80%;2,20%;4,20%;72%;10%;20;5;5;131;131;EUR;USD;13,99;19,10%;25,60%;223,29
MOUR;Moury Construct SA;10,4;Industrials;Belgium;Construction & Infrastructure;MOUR;19,20%;0,7;7,50%;291,6;40,20%;80;4,60%;10,70%;11,50%;5,80%;6,60%;0,80%;3,00%;39%;8%;19;5;5;670;670;EUR;EUR;64,38;92,30%;22,80%;883,61
FO3;Moury Construct SA;10;Industrials;Germany;Construction & Infrastructure;FO3;19,20%;0,7;7,50%;281,1;39,80%;70;4,80%;10,90%;11,70%;5,80%;6,60%;0,70%;3,00%;45%;8%;16;5;5;646;646;EUR;EUR;64,38;92,30%;22,80%;904,91
MPCC;MPC Container Ships;4,3;Industrials;Norway;Marine & Sea;MPCC;25,40%;0,6;42,20%;1020,1;36,00%;81;15,80%;25,60%;26,80%;8,40%;9,50%;1,00%;3,40%;88%;2%;17;4;5;22,99;22,99;NOK;USD;0,53;37,20%;39,40%;87,84
MPTI;M-Tron Industries Inc;26,5;Technology;USA;Semiconductors;MPTI;19,30%;0,1;13,50%;190,2;76,40%;87;5,60%;21,80%;28,90%;15,30%;22,10%;5,80%;2,60%;85%;2%;11;5;5;67;67;USD;USD;2,53;25,00%;42,60%;97,57
NHC;National Healthcare Corp;21,3;Health Care;USA;Healthcare Facilities;NHC;11,20%;0,4;9,80%;2552,3;76,20%;88;8,60%;23,60%;31,40%;13,80%;21,00%;6,30%;5,10%;85%;5%;19;5;5;164,96;164,96;USD;USD;7,76;9,40%;23,10%;119,75
NTH;Naturhouse Health SA;16;Food and Beverage;Spain;Food Processing;NTH;39,60%;0,7;22,80%;168,8;46,30%;87;2,00%;15,10%;20,40%;12,80%;18,10%;4,70%;3,70%;55%;9%;17;5;5;2,56;2,56;EUR;EUR;0,16;100,00%;0,00%;1,84
2NH;Naturhouse Health SA;15,9;Food and Beverage;Germany;Food Processing;2NH;39,60%;0,7;22,80%;168,2;43,30%;76;2,90%;16,40%;22,10%;13,10%;18,60%;4,90%;3,80%;54%;8%;18;5;5;2,55;2,55;EUR;EUR;0,16;100,00%;0,00%;1,84
ODC;Oil-Dri Corp of America;16;Materials;USA;Chemicals;ODC;19,40%;0,4;9,80%;868;29,20%;71;3,00%;6,20%;6,70%;3,20%;3,70%;0,50%;3,30%;51%;11%;16;5;5;62,36;62,36;USD;USD;3,89;14,20%;37,00%;77,34
ORNBV;Orion B;19,8;Health Care;Finland;Pharmaceuticals;ORNBV;38,90%;0,6;11,50%;10913,9;26,50%;76;1,40%;6,50%;6,60%;5,00%;5,10%;0,10%;1,80%;51%;7%;18;5;5;70,3;70,3;EUR;EUR;3,55;31,00%;17,90%;51,33
