Company;Info - Ticker;Info - Country;Info - Sector;Info - Industry;Debt-Equity - Current;Profit marg - Current;P/E - Current;Market Cap - Current USD;Canslim - 0-100;P/E - Current;Market Cap - Current SEK;Performance - Perform. 1m;Performance - Perform. 1y;Stock price - Current;Info - Price Currency;Info - Report Currency;Earnings/share - Average 5y;ROIC - Average 3y;FCF growth - Growth 5y;Earnings g. - Growth 3y;Fair value
Penumbra Inc;PEN;USA;Health Care;Medical Equipment;0,3;12,70%;72,3;12857,1;74;72,3;131399,8;-3,50%;21,80%;330,36;USD;USD;1,48;8,60%;99,20%;353,70%;192,39
Privia Health Group Inc;PRVA;USA;Health Care;Medical Supplies;0,7;1,10%;111,6;2591,4;46;111,6;26483,8;-11,80%;-7,30%;21,21;USD;USD;0,01;8,30%;32,40%;63,60%;16,77
Proto Labs Inc;PRLB;USA;Industrials;Industrial Components;0,1;4,00%;64,9;1382;49;64,9;14124,2;-7,80%;63,20%;57,77;USD;USD;0,01;3,10%;2,40%;30,80%;46,48
PTC Inc;PTC;USA;Technology;IT Services;0,7;28,60%;20,9;17086,2;43;20,9;174620,6;-9,80%;-8,70%;142,65;USD;USD;4,17;12,90%;16,10%;48,90%;143,39
Pursuit Attractions & Hospitality;PRSU;USA;Consumer Durables;Leisure;0,5;5,00%;42,9;1064,5;75;42,9;10878,9;4,20%;6,70%;37,75;USD;USD;0,01;18,60%;15,80%;52,90%;26,78
Qorvo Inc;QRVO;USA;Technology;Semiconductors;0,7;9,10%;21,5;7319,1;61;21,5;74801;-3,90%;9,00%;78,7;USD;USD;2,78;2,60%;-8,20%;53,60%;74,86
QuinStreet Inc;QNST;USA;Consumer Durables;Advertising;0,7;5,60%;11,1;689,9;45;11,1;7050,8;4,60%;-32,80%;12,1;USD;USD;0,01;5,50%;7,80%;41,80%;15,53
Red Violet Inc;RDVT;USA;Technology;IT Services;0,1;13,00%;43,8;496,4;69;43,8;5072,9;-17,80%;-8,50%;35,49;USD;USD;0,48;18,80%;73,60%;172,60%;25,67
RingCentral Inc;RNG;USA;Technology;IT Services;-3,5;1,70%;78,7;3380,6;76;78,7;34549,6;4,50%;49,00%;37,78;USD;USD;0,01;3,60%;50,60%;27,10%;22,99
Saga Furs;SAGCV;Finland;Consumer Durables;Clothing & Footwear;0,3;8,40%;13,4;53,1;78;13,4;540,3;42,60%;36,00%;13,4;EUR;EUR;1,39;10,00%;19,40%;51,20%;34,76
Seneca Foods Corp;SENEA;USA;Food and Beverage;Food Processing;0,7;5,60%;12,3;1104,8;99;12,3;11291;19,10%;78,90%;160,92;USD;USD;6,83;6,20%;8,10%;122,50%;255,41
SharkNinja Inc;SN;USA;Consumer Durables;Home Furnishings;1;11,00%;21;14715,9;61;21;150396,7;-13,40%;24,00%;104,38;USD;USD;2,59;16,70%;15,40%;57,20%;91,62
Sphere Entertainment Co;SPHR;USA;Consumer Durables;Broadcasting & Publishing;0,9;2,70%;136,8;4588,7;92;136,8;46896,5;11,20%;285,90%;127,22;USD;USD;0,01;2,10%;25,00%;30,70%;68,61
Stif SA;ALSTI;France;Industrials;Industrial Machinery;0,9;18,00%;17,4;272,9;62;17,4;2778,7;-27,60%;20,30%;43,3;EUR;EUR;1,05;38,60%;;94,50%;44,22
Strattec Security Corp;STRT;USA;Consumer Durables;Auto & Equipment;0,5;4,60%;11,7;316,6;88;11,7;3235,8;-10,70%;97,80%;78,11;USD;USD;3,11;10,80%;-5,00%;81,10%;83,04
Subsea 7 SA;SOC;Germany;Energy;Oil & Gas - Services;0,8;5,80%;22;8464,7;98;22;86186,5;9,40%;76,30%;26,02;EUR;USD;0,49;4,80%;69,20%;90,80%;23,72
Subsea7;SUBC;Norway;Energy;Oil & Gas - Services;0,8;5,80%;21,2;8784,3;96;21,2;90478;6,70%;74,90%;293,2;NOK;USD;0,48;4,80%;37,10%;90,10%;285,27
Talkspace Inc;TALK;USA;Health Care;Medical Supplies;0,2;2,00%;172,7;869,7;96;172,7;8888,3;5,10%;94,70%;5,18;USD;USD;0,01;42,90%;12,30%;27,20%;2,74
TAT Technologies Ltd;TATT;USA;Industrials;Military & Defense;0,3;9,10%;29,1;455,5;66;29,1;4655;-29,10%;46,60%;40,13;USD;USD;0,47;8,60%;11,30%;114,60%;30,76
TG Therapeutics Inc;TGTX;USA;Health Care;Biotechnology;0,6;72,60%;10,8;4838,9;40;10,8;49454;14,00%;-11,20%;33,53;USD;USD;0,01;31,10%;21,90%;57,10%;46,26
The Scotts Miracle Gro Co;SMG;USA;Food and Beverage;Farming;-7,1;2,70%;22,2;3689,1;54;22,2;37702,3;-9,20%;16,60%;63,88;USD;USD;0,01;3,30%;-9,80%;34,30%;37,4
The Vita Coco Co Inc;COCO;USA;Food and Beverage;Beverages;0,4;11,70%;38,6;2745,5;65;38,6;28059,2;-11,40%;60,60%;48,24;USD;USD;0,71;57,90%;17,90%;107,50%;33,27
Theravance Biopharma Inc;TBPH;USA;Health Care;Biotechnology;0,8;36,50%;27,6;799,9;82;27,6;8175,1;-15,50%;77,60%;16,02;USD;USD;0,01;5,00%;23,10%;35,00%;13,2
Tidewater Inc;TDW;USA;Energy;Oil & Gas - Services;0,8;24,70%;12,6;4223,5;98;12,6;43163,9;5,60%;96,40%;84,38;USD;USD;1,68;13,90%;52,90%;150,10%;121,98
Tonies SE;TNIE;Germany;Consumer Durables;Leisure;0,5;5,40%;41,9;1262,3;61;41,9;12853;-11,60%;89,80%;10,06;EUR;EUR;0,01;2,90%;18,20%;40,10%;7,07
Trophy Games;TGAMES;Denmark;Consumer Durables;Gaming;0,3;9,90%;29,4;55,3;50;29,4;556,4;-8,90%;99,30%;13,35;DKK;DKK;0,06;17,40%;8,10%;44,30%;11,18
Twin Disc Inc;TWIN;USA;Industrials;Industrial Machinery;1,1;6,30%;10;215,6;65;10;2203,4;-12,00%;98,10%;15,43;USD;USD;0,75;4,50%;24,90%;26,30%;20,53
Ubiquiti Inc;UI;USA;Technology;Communications;0,6;29,90%;57,2;50869,8;68;57,2;519889,6;5,30%;170,40%;840,9;USD;USD;9,03;90,60%;7,30%;29,60%;301,28
Valaris Ltd;VAL;USA;Energy;Oil & Gas - Services;0,7;41,50%;7;6921,6;91;7;70739;5,90%;141,20%;98,04;USD;USD;0,01;21,60%;;80,90%;94,57
Valeura Energy Inc;83PN;Germany;Energy;Oil & Gas -Exploration;0,6;37,80%;4,2;979,9;99;4,2;9977,3;18,40%;47,90%;8,36;EUR;USD;1,24;58,40%;82,50%;166,20%;29,19
Veracyte Inc;VCYT;USA;Health Care;Medical Equipment;0,1;12,80%;38,4;2534,3;65;38,4;25901;-10,40%;9,10%;32,25;USD;USD;0,01;0,30%;56,00%;53,90%;23,08
Vicor Corp;VICR;USA;Technology;Semiconductors;0,1;26,20%;59,2;7010;93;59,2;71642,5;-25,60%;231,00%;155,64;USD;USD;1,17;18,90%;75,20%;65,50%;64,1
Western Digital Corp;WDC;USA;Technology;Computer Hardware;1,1;35,40%;25,7;102059,6;96;25,7;1043049,1;9,20%;621,40%;294,97;USD;USD;3,12;28,40%;19,60%;81,10%;240,19
Whats Cooking Group NVSA;WHATS;Belgium;Food and Beverage;Food Processing;0,9;7,20%;20,1;289,9;89;20,1;2952,1;0,40%;31,50%;142;EUR;EUR;4,22;12,80%;18,80%;44,80%;173,01
Willdan Group Inc;WLDN;USA;Industrials;Construction & Infrastructure;0,8;7,70%;22,1;1161,8;78;22,1;11873,6;-8,20%;96,80%;80,34;USD;USD;0,95;9,80%;22,40%;96,50%;60,54
Woodward Inc;WWD;USA;Industrials;Military & Defense;0,8;12,90%;45,4;22202,1;47;45,4;226905,2;-7,60%;98,70%;371,78;USD;USD;5,7;13,20%;12,00%;28,20%;165,42
Zaptec;ZAP;Norway;Industrials;Energy & Recycling;0,5;3,50%;46,3;249,4;54;46,3;2569,2;-8,80%;72,70%;28,5;NOK;NOK;0,15;5,30%;;58,20%;15,9
Zoom Communications Inc;ZM;USA;Technology;IT Services;0,2;39,00%;13;24749,5;80;13;252939,8;13,30%;11,30%;82,36;USD;USD;3,34;73,20%;14,20%;162,40%;132,7
